Brand,Product_Name,Door_Category,Material,Door_Type,Application,Size,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,Medium,8.9,Piece,Fixed,1,Apartment,False,9692,Doors,Entrance,Not Applicable,Medium: 5307 - 9745,1,9692,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11396,Doors,Entrance,Not Applicable,High: > 9745,1,11396,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5066,Doors,Balcony,Not Applicable,Low: <= 5307,1,5066,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5271,Doors,Interior,Not Applicable,Low: <= 5307,1,5271,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,Medium,8.9,Piece,Fixed,1,Apartment,False,9609,Doors,Entrance,Not Applicable,Medium: 5307 - 9745,1,9609,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13772,Doors,Entrance,Not Applicable,High: > 9745,1,13772,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7443,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7443,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4991,Doors,Interior,Not Applicable,Low: <= 5307,1,4991,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11594,Doors,Entrance,Not Applicable,High: > 9745,1,11594,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6746,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6746,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4353,Doors,Interior,Not Applicable,Low: <= 5307,1,4353,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7276,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7276,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14087,Doors,Entrance,Not Applicable,High: > 9745,1,14087,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6531,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6531,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5344,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5344,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4469,Doors,Interior,Not Applicable,Low: <= 5307,1,4469,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4424,Doors,Interior,Not Applicable,Low: <= 5307,1,4424,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4355,Doors,Interior,Not Applicable,Low: <= 5307,1,4355,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12443,Doors,Entrance,Not Applicable,High: > 9745,1,12443,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5694,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5694,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3700,Doors,Interior,Not Applicable,Low: <= 5307,1,3700,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10161,Doors,Entrance,Not Applicable,High: > 9745,1,10161,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11797,Doors,Entrance,Not Applicable,High: > 9745,1,11797,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4522,Doors,Balcony,Not Applicable,Low: <= 5307,1,4522,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7251,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7251,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6363,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6363,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5265,Doors,Interior,Not Applicable,Low: <= 5307,1,5265,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4731,Doors,Interior,Not Applicable,Low: <= 5307,1,4731,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5266,Doors,Interior,Not Applicable,Low: <= 5307,1,5266,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11689,Doors,Entrance,Not Applicable,High: > 9745,1,11689,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5571,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5571,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4433,Doors,Interior,Not Applicable,Low: <= 5307,1,4433,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3933,Doors,Interior,Not Applicable,Low: <= 5307,1,3933,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5444,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5444,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3693,Doors,Interior,Not Applicable,Low: <= 5307,1,3693,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4743,Doors,Balcony,Not Applicable,Low: <= 5307,1,4743,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4385,Doors,Interior,Not Applicable,Low: <= 5307,1,4385,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3503,Doors,Interior,Not Applicable,Low: <= 5307,1,3503,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4785,Doors,Interior,Not Applicable,Low: <= 5307,1,4785,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4945,Doors,Interior,Not Applicable,Low: <= 5307,1,4945,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5562,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5562,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9861,Doors,Entrance,Not Applicable,High: > 9745,1,9861,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12749,Doors,Entrance,Not Applicable,High: > 9745,1,12749,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13647,Doors,Entrance,Not Applicable,High: > 9745,1,13647,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5066,Doors,Interior,Not Applicable,Low: <= 5307,1,5066,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4693,Doors,Balcony,Not Applicable,Low: <= 5307,1,4693,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12464,Doors,Entrance,Not Applicable,High: > 9745,1,12464,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4692,Doors,Interior,Not Applicable,Low: <= 5307,1,4692,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3631,Doors,Interior,Not Applicable,Low: <= 5307,1,3631,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4599,Doors,Interior,Not Applicable,Low: <= 5307,1,4599,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6610,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6610,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11540,Doors,Entrance,Not Applicable,High: > 9745,1,11540,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4786,Doors,Balcony,Not Applicable,Low: <= 5307,1,4786,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4222,Doors,Interior,Not Applicable,Low: <= 5307,1,4222,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4640,Doors,Interior,Not Applicable,Low: <= 5307,1,4640,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,Medium,8.9,Piece,Fixed,1,Apartment,False,9596,Doors,Entrance,Not Applicable,Medium: 5307 - 9745,1,9596,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12156,Doors,Entrance,Not Applicable,High: > 9745,1,12156,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5496,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5496,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13519,Doors,Entrance,Not Applicable,High: > 9745,1,13519,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5538,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5538,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14264,Doors,Entrance,Not Applicable,High: > 9745,1,14264,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11855,Doors,Entrance,Not Applicable,High: > 9745,1,11855,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5184,Doors,Balcony,Not Applicable,Low: <= 5307,1,5184,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4292,Doors,Interior,Not Applicable,Low: <= 5307,1,4292,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6464,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6464,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6430,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6430,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7498,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7498,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5258,Doors,Interior,Not Applicable,Low: <= 5307,1,5258,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4689,Doors,Interior,Not Applicable,Low: <= 5307,1,4689,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3415,Doors,Interior,Not Applicable,Low: <= 5307,1,3415,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12698,Doors,Entrance,Not Applicable,High: > 9745,1,12698,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13805,Doors,Entrance,Not Applicable,High: > 9745,1,13805,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6629,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6629,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11354,Doors,Entrance,Not Applicable,High: > 9745,1,11354,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6164,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6164,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10084,Doors,Entrance,Not Applicable,High: > 9745,1,10084,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6083,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6083,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5259,Doors,Balcony,Not Applicable,Low: <= 5307,1,5259,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5285,Doors,Interior,Not Applicable,Low: <= 5307,1,5285,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10404,Doors,Entrance,Not Applicable,High: > 9745,1,10404,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13652,Doors,Entrance,Not Applicable,High: > 9745,1,13652,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10102,Doors,Entrance,Not Applicable,High: > 9745,1,10102,Doors
Security Doors,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5353,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5353,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7293,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7293,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3742,Doors,Interior,Not Applicable,Low: <= 5307,1,3742,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11149,Doors,Entrance,Not Applicable,High: > 9745,1,11149,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14137,Doors,Entrance,Not Applicable,High: > 9745,1,14137,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4820,Doors,Balcony,Not Applicable,Low: <= 5307,1,4820,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6185,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6185,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12075,Doors,Entrance,Not Applicable,High: > 9745,1,12075,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4862,Doors,Balcony,Not Applicable,Low: <= 5307,1,4862,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3278,Doors,Interior,Not Applicable,Low: <= 5307,1,3278,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13541,Doors,Entrance,Not Applicable,High: > 9745,1,13541,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5749,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5749,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4161,Doors,Interior,Not Applicable,Low: <= 5307,1,4161,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12775,Doors,Entrance,Not Applicable,High: > 9745,1,12775,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5695,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5695,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5993,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5993,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3403,Doors,Interior,Not Applicable,Low: <= 5307,1,3403,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,12861,Doors,Entrance,Not Applicable,High: > 9745,1,12861,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6092,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6092,Doors
DoorTech,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10326,Doors,Entrance,Not Applicable,High: > 9745,1,10326,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14033,Doors,Entrance,Not Applicable,High: > 9745,1,14033,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4719,Doors,Balcony,Not Applicable,Low: <= 5307,1,4719,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5750,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5750,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4695,Doors,Balcony,Not Applicable,Low: <= 5307,1,4695,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3846,Doors,Interior,Not Applicable,Low: <= 5307,1,3846,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3365,Doors,Interior,Not Applicable,Low: <= 5307,1,3365,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,10503,Doors,Entrance,Not Applicable,High: > 9745,1,10503,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5614,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5614,Doors
Security Doors,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,9973,Doors,Entrance,Not Applicable,High: > 9745,1,9973,Doors
WoodCraft,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13020,Doors,Entrance,Not Applicable,High: > 9745,1,13020,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,5955,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,5955,Doors
WPC Brand,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7268,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7268,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,13595,Doors,Entrance,Not Applicable,High: > 9745,1,13595,Doors
DoorTech,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6982,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6982,Doors
DoorTech,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5209,Doors,Interior,Not Applicable,Low: <= 5307,1,5209,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,6012,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,6012,Doors
AluDoor,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,5034,Doors,Balcony,Not Applicable,Low: <= 5307,1,5034,Doors
AluDoor,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3991,Doors,Interior,Not Applicable,Low: <= 5307,1,3991,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Medium,7.2,Piece,Per_Room,1,Bedroom,False,5776,Doors,Interior,Not Applicable,Medium: 5307 - 9745,1,5776,Doors
WPC Brand,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,5155,Doors,Interior,Not Applicable,Low: <= 5307,1,5155,Doors
WPC Brand,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,14485,Doors,Entrance,Not Applicable,High: > 9745,1,14485,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,3600,Doors,Interior,Not Applicable,Low: <= 5307,1,3600,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Medium,7.4,Piece,Per_Balcony,1,Balcony,False,7300,Doors,Balcony,Not Applicable,Medium: 5307 - 9745,1,7300,Doors
AluDoor,Armored Security Door,Entrance,Steel,Armored,Main Entrance,100x220 cm,High,8.9,Piece,Fixed,1,Apartment,False,11139,Doors,Entrance,Not Applicable,High: > 9745,1,11139,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4010,Doors,Interior,Not Applicable,Low: <= 5307,1,4010,Doors
WoodCraft,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4237,Doors,Interior,Not Applicable,Low: <= 5307,1,4237,Doors
Security Doors,Interior MDF Door,Interior,MDF,Solid,Bedroom,90x210 cm,Low,7.2,Piece,Per_Room,1,Bedroom,False,4386,Doors,Interior,Not Applicable,Low: <= 5307,1,4386,Doors
WoodCraft,Aluminum Balcony Door,Balcony,Aluminum,Sliding,Balcony,180x220 cm,Low,7.4,Piece,Per_Balcony,1,Balcony,False,4862,Doors,Balcony,Not Applicable,Low: <= 5307,1,4862,Doors
