Apartment_Area_m2,Rooms,Bathrooms,Master_Bathrooms,Balconies,Receptions,Finishing_Level,Ceilings_Quality,Doors_Quality,Electrical_Basic_Quality,Electrical_Finishing_Quality,Flooring_Quality,Paints_Quality,Plumbing_Quality,Sanitary_Quality,Include_Reception_Ceiling_Upgrade,Include_Reception_Chandelier,Include_Master_Bathroom_Upgrade,Plumbing_System,Total_Finishing_Cost_EGP
169.8,4,1,1,2,1,Medium,Medium,High,Low,Medium,Medium,Medium,High,Medium,0,1,1,PVC Pipes,291295.93
132.7,3,1,1,1,1,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,0,0,0,PPR Pipes,234646.46
158.6,4,2,1,1,1,High,Medium,Medium,Medium,High,High,Medium,High,High,1,1,1,PVC Pipes,354944.14
62.3,1,1,1,0,1,High,High,High,Medium,Medium,High,High,High,Medium,1,0,1,PVC Pipes,148879.43
76.5,2,1,1,2,1,Low,Low,Low,Medium,Low,Low,Low,Low,Low,0,1,0,PPR Pipes,142107.08
111.1,3,1,1,1,1,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,0,0,0,PPR Pipes,203931.45
181.2,4,1,1,3,2,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,0,0,0,PVC Pipes,331614.12
84.9,2,1,1,2,1,High,High,Medium,Medium,Medium,Medium,High,High,High,1,1,1,PVC Pipes,203948.79
123.3,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,276105.57
134.8,3,2,1,1,1,High,Medium,Medium,High,Medium,High,High,High,Medium,1,1,1,PVC Pipes,310605.36
122.6,3,2,1,0,1,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,229980.38
202.2,5,3,1,2,1,High,Medium,High,Medium,Medium,High,Medium,High,Medium,1,1,1,PVC Pipes,418781.74
124.5,3,1,1,2,1,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,0,0,0,PPR Pipes,234911.28
118.1,3,1,1,1,1,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,0,0,1,PVC Pipes,231829.46
150.4,4,1,1,1,1,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,249628.23
121.2,3,2,1,1,1,High,High,High,Medium,High,Medium,Medium,Medium,High,0,1,0,PVC Pipes,251041.76
155.9,4,2,1,2,1,Low,Low,Medium,Low,Medium,Low,Low,Low,Medium,0,0,0,PPR Pipes,286272.25
117.2,3,2,1,3,1,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,249524.67
78.5,2,1,1,2,1,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,Medium,0,0,1,PVC Pipes,174828.7
80.4,2,1,1,1,1,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,148815.87
114.8,3,2,1,1,1,Medium,Medium,Medium,High,Medium,Low,Medium,Medium,Low,1,0,1,PVC Pipes,254742.13
60.7,1,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,157031.12
106.5,3,2,1,1,1,High,Medium,Medium,High,High,Medium,High,High,Medium,1,0,1,PVC Pipes,249406.59
97.3,2,1,1,1,1,Medium,Medium,Low,Medium,High,Medium,Medium,High,Medium,0,0,0,PVC Pipes,180564.33
111.2,3,1,1,0,1,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,192201.56
124.4,3,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,255409.0
148.9,3,2,1,0,1,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,0,0,0,PVC Pipes,276332.46
112.0,3,2,1,2,1,Medium,Low,Medium,Medium,High,Medium,Medium,High,Medium,1,0,0,PVC Pipes,250263.5
120.1,3,2,1,0,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,1,0,0,PVC Pipes,229381.86
82.0,2,1,1,0,1,Low,Medium,Medium,Low,Low,Low,Medium,Low,Medium,0,0,0,PPR Pipes,160725.5
80.0,2,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,1,1,0,PPR Pipes,180181.31
196.6,5,3,1,3,2,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,0,0,1,PVC Pipes,410933.41
56.6,1,1,1,0,1,High,Medium,High,High,High,High,High,High,High,1,1,1,PVC Pipes,148038.85
129.3,3,2,1,2,1,High,High,High,High,High,High,Medium,High,High,1,1,1,PVC Pipes,334656.38
84.2,2,1,1,0,1,Medium,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,0,0,1,PPR Pipes,161471.21
146.8,4,2,1,1,1,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,338615.12
83.2,2,1,1,2,1,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,165995.32
100.1,2,1,1,2,1,High,High,Medium,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,239838.95
68.2,2,1,1,1,1,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Low,0,0,0,PVC Pipes,134936.2
159.2,4,1,1,2,1,High,Medium,Medium,High,High,High,Medium,Medium,High,1,1,1,PVC Pipes,333044.83
133.8,3,1,1,1,1,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,221049.07
93.0,2,1,1,0,1,High,High,High,High,Medium,High,High,Medium,High,0,0,1,PVC Pipes,195608.18
118.5,3,1,1,3,1,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,228728.67
51.7,1,1,1,1,1,Medium,Medium,Low,Medium,High,Low,Medium,Medium,Medium,1,0,0,PVC Pipes,122501.33
118.2,3,2,1,1,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,1,1,1,PVC Pipes,278786.95
81.4,2,1,1,0,1,High,High,High,High,Medium,High,High,High,High,1,1,0,PVC Pipes,186922.05
120.7,3,2,1,1,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,1,0,1,PVC Pipes,269149.54
77.3,1,1,1,2,1,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,144240.53
154.9,4,2,1,3,1,High,High,High,High,Medium,Medium,High,High,High,1,1,1,PVC Pipes,367585.54
115.3,3,1,1,1,1,High,Medium,Medium,Medium,Medium,Medium,High,High,High,1,0,1,PVC Pipes,262218.91
120.0,3,1,1,1,1,Low,Low,Low,Low,Medium,Low,Medium,Medium,Low,0,0,0,PVC Pipes,226064.6
117.7,3,1,1,3,1,Low,Low,Medium,Low,Medium,Low,Medium,Medium,Low,0,0,0,PVC Pipes,217190.47
113.6,3,1,1,2,1,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,0,0,1,PVC Pipes,226861.52
133.3,4,2,1,1,1,High,High,High,High,High,Medium,High,High,High,0,1,0,PVC Pipes,263990.96
103.9,2,1,1,0,1,Low,Low,Low,Low,Low,Low,Low,Low,Medium,0,0,0,PVC Pipes,167471.0
116.4,3,2,1,3,1,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,0,1,0,PVC Pipes,252343.86
151.2,4,2,1,2,1,High,High,High,High,High,High,High,High,High,1,0,1,PVC Pipes,359238.07
97.7,2,1,1,1,1,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,0,0,1,PVC Pipes,184212.84
144.0,4,2,1,1,1,Low,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,1,0,0,PVC Pipes,311183.08
50.0,1,1,1,2,1,High,High,Medium,High,High,High,Medium,Medium,Medium,1,0,0,PVC Pipes,126890.89
129.8,3,2,1,2,1,Medium,High,High,Medium,High,High,Low,Medium,Medium,0,0,1,PVC Pipes,242811.74
157.2,4,2,1,3,1,Medium,Medium,Medium,Low,Medium,Low,High,Medium,High,0,0,1,PVC Pipes,327571.23
87.7,2,1,1,0,1,High,High,High,High,High,Medium,High,High,High,1,1,1,PVC Pipes,209369.55
72.8,2,1,1,1,1,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,1,0,1,PVC Pipes,166640.46
112.7,3,1,1,0,1,Low,Low,Medium,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,197408.43
70.5,2,1,1,1,1,Low,Low,Low,Medium,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,134512.09
120.9,3,2,1,1,1,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,0,0,0,PVC Pipes,242184.69
119.0,3,2,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,0,1,0,PVC Pipes,245594.76
110.4,2,1,1,1,1,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Low,0,1,1,PVC Pipes,195260.6
74.1,2,1,1,1,1,High,High,High,High,Medium,High,High,High,High,1,1,1,PVC Pipes,192323.09
116.9,3,2,1,2,1,Low,Medium,Medium,Low,Low,Medium,Low,Low,Low,0,0,1,PPR Pipes,239665.66
115.8,3,2,1,2,1,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,265233.12
112.6,3,2,1,0,1,Low,Low,Low,Low,Low,Low,Medium,Medium,Medium,0,0,0,PVC Pipes,214824.23
74.1,2,1,1,1,1,High,High,Medium,Medium,High,High,High,Medium,Medium,1,0,1,PVC Pipes,185195.27
128.6,3,2,1,3,1,High,Medium,High,Medium,High,High,High,High,High,1,1,1,PVC Pipes,317755.21
154.6,4,2,1,3,1,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,0,0,1,PVC Pipes,280268.37
163.9,4,2,1,0,1,Low,Low,Medium,Low,Low,Low,Low,Medium,Medium,0,0,0,PVC Pipes,275066.69
75.7,1,1,1,0,1,High,High,High,High,Medium,High,High,High,High,1,1,0,PVC Pipes,167586.49
139.4,3,2,1,1,1,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,1,0,0,PVC Pipes,296371.04
206.9,5,3,1,2,1,Low,Low,Low,Low,Medium,Low,Medium,Medium,Low,0,0,1,PVC Pipes,360634.06
50.0,1,1,1,1,1,Medium,Low,Medium,Medium,High,Low,Medium,Medium,Low,1,1,1,PVC Pipes,120702.61
86.7,2,1,1,1,1,Low,Low,Low,Low,Low,Medium,Medium,Medium,Low,0,1,0,PVC Pipes,153129.74
117.8,3,2,1,3,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,234347.15
93.2,2,1,1,0,1,High,High,High,Medium,Medium,High,Medium,High,High,1,1,1,PVC Pipes,209518.12
100.3,3,2,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,194892.27
110.4,3,2,1,0,1,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,200508.95
50.0,1,1,1,0,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,1,0,1,PPR Pipes,121983.61
126.8,3,2,1,1,1,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,0,1,0,PVC Pipes,243239.96
172.3,4,2,1,1,1,High,Medium,High,Medium,High,Medium,Medium,High,High,1,0,1,PVC Pipes,387794.11
178.5,4,2,1,1,1,Medium,Medium,Low,Low,Medium,High,Medium,Medium,High,1,0,1,PVC Pipes,373888.62
125.7,3,2,1,3,1,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,300540.02
66.8,2,1,1,1,1,Medium,Medium,High,High,Low,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,143353.58
90.1,2,1,1,2,1,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,1,0,0,PVC Pipes,180547.68
106.5,3,1,1,3,1,Low,Low,Low,Low,Medium,Low,Medium,Low,Medium,0,0,0,PPR Pipes,199090.45
164.9,4,1,1,1,1,High,High,High,Medium,High,High,High,High,Medium,1,1,1,PVC Pipes,337623.36
98.1,2,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,0,1,PVC Pipes,222096.58
86.3,2,1,1,1,1,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,0,0,0,PVC Pipes,158861.29
96.2,2,1,1,1,1,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,165967.49
80.0,2,1,1,0,1,Low,Low,Medium,Medium,Low,Low,Low,Low,Medium,0,1,1,PPR Pipes,144923.43
85.1,2,1,1,2,1,High,High,Medium,Medium,High,High,High,Medium,High,1,0,1,PVC Pipes,209671.76
142.7,4,2,1,2,1,High,High,Medium,High,High,High,High,High,High,1,1,1,PVC Pipes,331292.14
115.2,3,2,1,1,1,High,High,Medium,Medium,High,High,High,High,High,1,0,1,PVC Pipes,278330.82
125.7,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,0,0,0,PVC Pipes,257992.41
127.9,3,2,1,0,1,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Medium,1,0,0,PVC Pipes,285890.64
196.1,5,3,1,2,1,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,378426.35
166.3,4,1,1,1,1,Medium,Medium,High,Medium,Medium,Low,Low,Low,Low,0,0,1,PPR Pipes,268031.16
159.9,4,2,1,1,1,Low,Low,Medium,Low,Medium,Medium,Low,Medium,Low,0,0,0,PVC Pipes,262261.11
135.0,3,2,1,1,1,Medium,High,High,Low,Medium,Low,Medium,Low,Medium,0,0,1,PPR Pipes,259961.27
98.8,2,1,1,1,1,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,1,0,0,PPR Pipes,193275.62
73.6,2,1,1,1,1,Medium,High,Medium,Medium,Low,Medium,Medium,High,Medium,1,1,1,PVC Pipes,179490.78
97.4,3,2,1,1,1,Low,Low,Low,Low,Low,Medium,Medium,Medium,Low,0,0,0,PVC Pipes,188158.88
101.2,3,2,1,3,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,0,0,0,PVC Pipes,219058.6
116.9,2,1,1,1,1,High,Medium,High,Medium,Medium,High,Medium,High,High,1,1,1,PVC Pipes,248155.31
116.1,3,2,1,0,1,Low,Low,Low,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,194361.82
189.0,5,3,1,1,2,Low,Low,Low,Medium,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,357038.73
206.4,5,2,1,1,2,Low,Medium,Low,Low,Low,Low,Medium,Medium,Low,0,0,0,PVC Pipes,331186.31
60.7,2,1,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,122926.8
188.3,5,3,1,2,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,431356.41
133.4,3,1,1,1,1,High,High,High,Medium,High,High,Medium,High,High,1,1,1,PVC Pipes,292529.94
107.0,3,2,1,1,1,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,243291.9
178.8,4,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,307703.62
169.1,4,2,1,1,1,High,High,Medium,High,High,Medium,High,Medium,High,1,1,1,PVC Pipes,387198.8
117.6,3,2,1,1,1,Medium,Low,Medium,Low,Low,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,257885.74
113.3,3,2,1,3,1,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,0,0,0,PVC Pipes,249029.43
167.0,5,2,1,2,1,Low,Medium,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,288229.26
74.8,2,1,1,1,1,Low,Low,Medium,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,143686.97
103.2,2,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,0,1,1,PVC Pipes,208661.41
91.8,2,1,1,1,1,High,High,High,High,High,Medium,High,Medium,High,1,1,1,PVC Pipes,227789.35
92.5,2,1,1,0,1,High,Medium,Medium,High,Medium,High,Medium,Medium,High,1,1,1,PVC Pipes,196862.51
131.5,3,1,1,3,1,Medium,Medium,Low,High,Medium,Medium,Medium,Low,Medium,1,1,1,PPR Pipes,267769.3
176.4,5,2,1,2,1,Medium,Medium,High,High,Medium,Low,High,Low,High,1,0,0,PPR Pipes,397874.26
174.4,4,2,1,3,1,High,High,High,Medium,High,High,High,High,High,1,1,1,PVC Pipes,398246.54
118.1,3,2,1,1,1,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,265930.13
91.8,2,1,1,1,1,Medium,Medium,High,High,Medium,Medium,Medium,High,Low,0,0,1,PVC Pipes,183134.12
69.6,2,1,1,1,1,High,Medium,High,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,180366.11
95.3,2,1,1,1,1,Medium,Medium,High,Low,Medium,Low,Medium,Low,Low,1,1,1,PPR Pipes,210811.59
103.6,3,2,1,1,1,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,203491.82
168.6,4,2,1,3,1,Low,Low,Low,Low,Medium,Low,Medium,Medium,Low,0,0,0,PVC Pipes,311538.39
133.8,4,1,1,1,1,High,High,Medium,High,High,Medium,High,High,Medium,1,1,0,PVC Pipes,294992.45
151.6,4,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,0,1,0,PPR Pipes,275465.27
118.7,3,2,1,2,1,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,276751.32
122.4,3,2,1,3,1,Low,Low,Low,Low,Medium,Medium,Low,Medium,Low,0,0,0,PVC Pipes,216628.78
107.1,2,1,1,1,1,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,1,1,0,PVC Pipes,216615.65
155.9,4,1,1,3,1,High,High,High,Medium,Medium,High,Medium,Medium,High,1,1,1,PVC Pipes,344619.62
157.8,4,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,0,1,1,PVC Pipes,299755.98
172.9,4,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,287269.78
125.1,3,2,1,1,1,High,High,High,High,High,High,Medium,High,High,1,1,1,PVC Pipes,313367.35
77.5,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,163718.35
150.2,4,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,1,0,0,PVC Pipes,332541.33
116.5,3,2,1,2,1,High,Medium,High,High,High,High,High,High,Medium,1,0,1,PVC Pipes,273934.8
56.4,2,1,1,0,1,Low,Low,Low,Low,Low,Medium,Low,Low,Low,0,1,0,PPR Pipes,108863.18
91.2,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,0,1,1,PVC Pipes,182919.52
117.2,3,1,1,1,1,Medium,Low,Low,Medium,Medium,High,Medium,Low,Medium,1,1,1,PPR Pipes,240517.83
50.5,1,1,1,0,1,Low,Low,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,94614.01
124.3,3,2,1,1,1,Low,Low,Low,Low,Low,Medium,Low,Low,Low,0,0,1,PPR Pipes,216122.92
166.3,4,2,1,2,1,Low,Low,Low,Medium,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,290470.04
108.4,3,2,1,1,1,High,High,Medium,High,Medium,High,High,High,High,0,1,1,PVC Pipes,255735.97
87.5,2,1,1,2,1,Low,Low,Low,Low,Low,Medium,Medium,Low,Low,1,0,0,PPR Pipes,177906.14
105.1,2,1,1,1,1,Medium,Medium,Medium,Medium,Low,High,High,Medium,Medium,0,0,0,PVC Pipes,187704.2
111.1,3,2,1,2,1,Medium,High,Low,Low,Medium,Medium,High,Medium,Medium,0,1,0,PVC Pipes,231457.21
175.1,4,1,1,2,1,High,High,High,High,High,Medium,Medium,Medium,High,1,0,1,PVC Pipes,377789.44
104.4,3,1,1,2,1,High,Medium,High,High,Medium,Medium,High,High,Medium,1,1,1,PVC Pipes,238965.95
167.6,4,1,1,0,1,High,High,High,High,High,Medium,Medium,High,High,1,1,0,PVC Pipes,334656.74
182.6,4,1,1,3,1,High,High,Medium,High,High,High,Medium,High,Medium,0,1,1,PVC Pipes,346911.05
121.8,3,1,1,3,1,High,Medium,High,High,High,High,High,High,High,1,1,1,PVC Pipes,276822.82
117.3,3,2,1,0,1,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,205558.13
116.6,3,1,1,3,1,Low,Low,Low,Medium,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,204153.15
154.2,4,2,1,3,1,High,High,High,Medium,Medium,High,High,High,Medium,0,1,1,PVC Pipes,309536.42
68.9,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,0,1,0,PVC Pipes,138117.44
159.5,4,2,1,2,1,Low,Low,Low,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,274897.26
117.7,3,2,1,3,1,High,High,Medium,High,High,High,High,Medium,Medium,1,1,1,PVC Pipes,298336.33
124.5,3,2,1,1,1,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,1,1,0,PVC Pipes,264226.21
133.0,3,1,1,2,1,Low,Low,Low,Medium,Medium,Low,Medium,Low,Low,0,0,0,PPR Pipes,243720.4
66.7,2,1,1,1,1,Medium,High,Medium,Medium,High,High,Medium,Medium,High,0,1,0,PVC Pipes,142730.03
111.7,3,2,1,0,1,Medium,Low,Medium,Medium,Medium,Medium,High,High,High,1,0,0,PVC Pipes,241346.06
122.9,3,2,1,2,1,High,High,Medium,High,Medium,High,High,High,Medium,1,0,1,PVC Pipes,296702.01
61.0,1,1,1,1,1,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,0,0,1,PVC Pipes,120771.77
129.5,3,2,1,3,1,High,Medium,High,High,High,Medium,Medium,Medium,High,1,0,1,PVC Pipes,318899.11
122.3,3,1,1,0,1,Low,Low,Medium,Low,Medium,Medium,Low,Low,Medium,1,0,0,PPR Pipes,231476.98
93.7,2,1,1,1,1,Low,Low,Low,Low,Low,Low,Medium,Low,Low,0,1,0,PPR Pipes,167315.32
91.7,2,1,1,1,1,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,0,1,1,PVC Pipes,179110.3
137.3,4,1,1,3,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,0,1,0,PPR Pipes,261077.04
84.1,2,1,1,0,1,Low,Medium,Low,Low,Medium,Medium,Low,Low,Medium,0,0,0,PPR Pipes,145376.66
90.9,2,1,1,0,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,217896.96
115.7,3,2,1,3,1,Low,Low,Low,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,231877.6
112.7,3,1,1,1,1,High,High,High,High,High,Medium,Medium,High,High,1,1,1,PVC Pipes,270035.57
97.8,3,2,1,1,1,Low,Low,Medium,Low,Medium,Low,Medium,Low,Low,0,0,0,PPR Pipes,195763.18
140.3,3,2,1,3,1,Medium,Medium,Low,Medium,Medium,High,Low,Medium,Medium,0,0,0,PVC Pipes,253197.2
96.1,3,2,1,1,1,High,High,High,High,High,High,Medium,High,High,0,1,1,PVC Pipes,216593.87
190.4,5,2,1,3,2,Low,Low,Low,Low,Low,Low,Medium,Medium,Low,0,0,0,PVC Pipes,326579.78
193.9,5,3,1,2,1,Low,Low,Low,Low,Medium,Low,Low,Medium,Medium,0,1,0,PVC Pipes,352650.36
94.1,2,1,1,2,1,Medium,High,Low,Medium,Medium,Medium,Low,Medium,Medium,1,0,1,PVC Pipes,196777.27
61.4,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,0,1,0,PVC Pipes,134117.77
181.3,4,1,1,2,2,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,0,1,0,PPR Pipes,313952.64
113.2,3,2,1,2,1,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,High,0,0,0,PVC Pipes,237450.91
68.9,2,1,1,0,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,172922.31
85.5,3,1,1,1,1,Low,Low,Medium,Medium,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,166777.15
155.3,4,2,1,1,1,Low,Medium,Low,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,264430.42
89.7,3,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,1,PVC Pipes,199149.51
161.2,4,2,1,1,1,Low,Low,Medium,Medium,Low,Medium,Low,Medium,Low,0,0,0,PVC Pipes,286494.41
131.7,3,2,1,2,1,High,Medium,Medium,High,High,High,High,High,High,1,0,1,PVC Pipes,305067.09
129.6,4,2,1,2,1,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,241031.76
175.0,4,2,1,3,1,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,370543.92
165.0,4,2,1,1,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,1,1,1,PVC Pipes,340701.19
122.2,3,1,1,1,1,High,Medium,Medium,High,Medium,High,Medium,Medium,High,1,1,0,PVC Pipes,239649.43
65.2,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,0,0,0,PPR Pipes,134375.99
154.2,4,2,1,3,1,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,274541.68
112.0,3,2,1,1,1,High,Medium,High,High,High,Medium,High,High,High,0,1,1,PVC Pipes,259644.8
111.4,3,2,1,1,1,Medium,Medium,Low,High,High,Medium,Medium,Medium,High,1,0,0,PVC Pipes,246593.99
161.6,4,2,1,2,1,High,High,High,High,Medium,Medium,High,High,High,1,1,1,PVC Pipes,391027.61
52.9,2,1,1,2,1,Medium,High,Medium,Low,Medium,Medium,Low,Medium,Medium,0,1,0,PVC Pipes,130149.3
103.2,2,1,1,0,1,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,0,0,1,PVC Pipes,191679.93
109.7,3,1,1,1,1,Low,Low,Medium,Low,Medium,Medium,Medium,Low,Low,1,0,0,PPR Pipes,224992.62
110.2,3,2,1,0,1,Low,Low,Medium,Medium,Low,Low,Low,Low,Medium,0,0,1,PPR Pipes,211141.44
122.1,3,1,1,2,1,High,High,High,High,High,High,Medium,High,High,1,1,1,PVC Pipes,290271.45
129.2,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,1,1,1,PVC Pipes,308926.77
128.9,3,2,1,1,1,Medium,Medium,Medium,High,Medium,Low,Low,High,High,0,1,0,PVC Pipes,249895.3
92.0,2,1,1,1,1,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,209911.98
111.8,3,1,1,1,1,Medium,High,Medium,Low,Low,Medium,High,Medium,Medium,0,1,1,PVC Pipes,210543.6
173.6,4,2,1,1,1,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,Low,0,1,0,PVC Pipes,306931.85
84.5,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,0,0,0,PVC Pipes,166581.18
156.8,4,2,1,3,1,High,Medium,High,High,High,High,High,High,High,1,1,1,PVC Pipes,358357.57
