Brand,Floor_Type,Grade,Size_cm,Unit,Size_Length_cm,Size_Width_cm,Tile_Area_m2,Price_EGP
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,244
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,508
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,568
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,377
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,265
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,835
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,248
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,544
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,730
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,195
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,674
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,576
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,279
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,313
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,334
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,658
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,359
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,876
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,852
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,793
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,898
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,568
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,272
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,730
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,778
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,359
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,572
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,689
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,261
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,221
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,633
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,597
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,230
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,357
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,728
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,272
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,469
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,270
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,245
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,357
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,707
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,660
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,856
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,751
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,355
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,191
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,172
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,204
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,750
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,906
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,355
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,245
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,453
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,239
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,705
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,694
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,574
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,488
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,837
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,202
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,172
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,623
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,596
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,460
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,808
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,576
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,283
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,202
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,427
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,858
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,281
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,232
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,778
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,569
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,707
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,466
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,852
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,469
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,172
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,644
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,446
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,330
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,727
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,934
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,681
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,202
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,339
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,355
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,488
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,218
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,531
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,334
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,836
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,528
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,757
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,914
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,240
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,844
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,767
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,769
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,689
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,835
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,310
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,205
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,346
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,720
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,248
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,683
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,358
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,819
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,496
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,702
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,750
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,253
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,652
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,702
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,690
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,235
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,904
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,600
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,233
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,248
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,716
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,553
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,815
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,328
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,698
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,642
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,285
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,804
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,267
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,690
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,306
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,438
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,927
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,914
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,466
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,790
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,310
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,804
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,262
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,900
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,263
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,737
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,552
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,569
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,280
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,218
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,645
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,258
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,885
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,328
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,299
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,232
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,191
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,235
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,650
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,258
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,360
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,544
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,317
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,179
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,890
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,456
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,550
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,285
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,534
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,836
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,310
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,440
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,762
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,748
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,944
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,652
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,462
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,258
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,545
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,845
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,235
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,906
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,270
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,716
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,452
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,287
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,793
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,667
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,645
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,832
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,782
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,272
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,226
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,768
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,748
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,613
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,508
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,564
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,837
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,232
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,327
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,494
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,494
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,264
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,793
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,737
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,748
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,469
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,522
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,664
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,843
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,724
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,550
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,172
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,442
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,346
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,781
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,920
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,289
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,734
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,804
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,586
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,876
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,676
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,179
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,226
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,603
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,245
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,746
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,660
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,927
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,766
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,357
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,890
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,672
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,354
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,593
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,654
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,794
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,272
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,278
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,934
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,460
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,574
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,683
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,756
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,764
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,244
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,707
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,261
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,427
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,713
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,744
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,265
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,427
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,506
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,509
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,528
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,368
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,850
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,201
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,248
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,613
