Brand,Product_Name,Category,Specification,Application,Power_W,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1419,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1419,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1722,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1722,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,135,LED Downlight,Not Applicable,Low: <= 174,8,1080,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3200,Modern Chandelier,Not Applicable,High: > 2252,1,3200,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2690,Modern Chandelier,Not Applicable,High: > 2252,1,2690,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2436,Modern Chandelier,Not Applicable,High: > 2252,1,2436,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,58,LED Downlight,Not Applicable,Low: <= 174,8,464,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2337,Modern Chandelier,Not Applicable,High: > 2252,1,2337,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,137,LED Downlight,Not Applicable,Low: <= 174,8,1096,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,143,LED Downlight,Not Applicable,Low: <= 174,8,1144,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2863,Modern Chandelier,Not Applicable,High: > 2252,1,2863,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1767,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1767,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3068,Modern Chandelier,Not Applicable,High: > 2252,1,3068,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2352,Modern Chandelier,Not Applicable,High: > 2252,1,2352,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3228,Modern Chandelier,Not Applicable,High: > 2252,1,3228,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,59,LED Downlight,Not Applicable,Low: <= 174,8,472,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2889,Modern Chandelier,Not Applicable,High: > 2252,1,2889,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,60,LED Spotlight,Not Applicable,Low: <= 174,4,240,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,84,LED Downlight,Not Applicable,Low: <= 174,8,672,Electrical
Opple,LED Bulb,Electrical,9W,Bedrooms,9,Medium,7.2,Piece,Per_Room,4,Bedroom,False,179,LED Bulb,Not Applicable,Medium: 174 - 2252,4,716,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2038,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2038,Electrical
Philips,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,58,LED Bulb,Not Applicable,Low: <= 174,4,232,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3145,Modern Chandelier,Not Applicable,High: > 2252,1,3145,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2819,Modern Chandelier,Not Applicable,High: > 2252,1,2819,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2724,Modern Chandelier,Not Applicable,High: > 2252,1,2724,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,144,LED Downlight,Not Applicable,Low: <= 174,8,1152,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,89,LED Downlight,Not Applicable,Low: <= 174,8,712,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1951,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1951,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1816,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1816,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,157,LED Downlight,Not Applicable,Low: <= 174,8,1256,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,168,LED Downlight,Not Applicable,Low: <= 174,8,1344,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2421,Modern Chandelier,Not Applicable,High: > 2252,1,2421,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1744,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1744,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1970,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1970,Electrical
Osram,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,64,LED Bulb,Not Applicable,Low: <= 174,4,256,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3276,Modern Chandelier,Not Applicable,High: > 2252,1,3276,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,108,LED Spotlight,Not Applicable,Low: <= 174,4,432,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1461,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1461,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,155,LED Downlight,Not Applicable,Low: <= 174,8,1240,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,90,LED Downlight,Not Applicable,Low: <= 174,8,720,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2135,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2135,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2037,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2037,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2246,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2246,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3447,Modern Chandelier,Not Applicable,High: > 2252,1,3447,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2231,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2231,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1495,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1495,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3240,Modern Chandelier,Not Applicable,High: > 2252,1,3240,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3449,Modern Chandelier,Not Applicable,High: > 2252,1,3449,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,121,LED Downlight,Not Applicable,Low: <= 174,8,968,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2814,Modern Chandelier,Not Applicable,High: > 2252,1,2814,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1736,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1736,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1423,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1423,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,154,LED Downlight,Not Applicable,Low: <= 174,8,1232,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2917,Modern Chandelier,Not Applicable,High: > 2252,1,2917,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2477,Modern Chandelier,Not Applicable,High: > 2252,1,2477,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1816,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1816,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1246,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1246,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3197,Modern Chandelier,Not Applicable,High: > 2252,1,3197,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3479,Modern Chandelier,Not Applicable,High: > 2252,1,3479,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1396,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1396,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2634,Modern Chandelier,Not Applicable,High: > 2252,1,2634,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1912,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1912,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Medium,8.8,Piece,Per_Reception,8,Reception,False,178,LED Downlight,Not Applicable,Medium: 174 - 2252,8,1424,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,71,LED Downlight,Not Applicable,Low: <= 174,8,568,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,128,LED Spotlight,Not Applicable,Low: <= 174,4,512,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,57,LED Spotlight,Not Applicable,Low: <= 174,4,228,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1476,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1476,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1624,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1624,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2846,Modern Chandelier,Not Applicable,High: > 2252,1,2846,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1268,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1268,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1486,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1486,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,154,LED Spotlight,Not Applicable,Low: <= 174,4,616,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3446,Modern Chandelier,Not Applicable,High: > 2252,1,3446,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2482,Modern Chandelier,Not Applicable,High: > 2252,1,2482,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1350,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1350,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,128,LED Downlight,Not Applicable,Low: <= 174,8,1024,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2979,Modern Chandelier,Not Applicable,High: > 2252,1,2979,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2866,Modern Chandelier,Not Applicable,High: > 2252,1,2866,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2418,Modern Chandelier,Not Applicable,High: > 2252,1,2418,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2715,Modern Chandelier,Not Applicable,High: > 2252,1,2715,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2383,Modern Chandelier,Not Applicable,High: > 2252,1,2383,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,124,LED Downlight,Not Applicable,Low: <= 174,8,992,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1968,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1968,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2932,Modern Chandelier,Not Applicable,High: > 2252,1,2932,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,129,LED Downlight,Not Applicable,Low: <= 174,8,1032,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1979,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1979,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,160,LED Spotlight,Not Applicable,Low: <= 174,4,640,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3219,Modern Chandelier,Not Applicable,High: > 2252,1,3219,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2440,Modern Chandelier,Not Applicable,High: > 2252,1,2440,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2918,Modern Chandelier,Not Applicable,High: > 2252,1,2918,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1343,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1343,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3208,Modern Chandelier,Not Applicable,High: > 2252,1,3208,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,162,LED Downlight,Not Applicable,Low: <= 174,8,1296,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,86,LED Spotlight,Not Applicable,Low: <= 174,4,344,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,101,LED Downlight,Not Applicable,Low: <= 174,8,808,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3312,Modern Chandelier,Not Applicable,High: > 2252,1,3312,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,113,LED Spotlight,Not Applicable,Low: <= 174,4,452,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2648,Modern Chandelier,Not Applicable,High: > 2252,1,2648,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3344,Modern Chandelier,Not Applicable,High: > 2252,1,3344,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3470,Modern Chandelier,Not Applicable,High: > 2252,1,3470,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2946,Modern Chandelier,Not Applicable,High: > 2252,1,2946,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2895,Modern Chandelier,Not Applicable,High: > 2252,1,2895,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,133,LED Downlight,Not Applicable,Low: <= 174,8,1064,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2618,Modern Chandelier,Not Applicable,High: > 2252,1,2618,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3028,Modern Chandelier,Not Applicable,High: > 2252,1,3028,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2705,Modern Chandelier,Not Applicable,High: > 2252,1,2705,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2895,Modern Chandelier,Not Applicable,High: > 2252,1,2895,Electrical
Opple,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,126,LED Bulb,Not Applicable,Low: <= 174,4,504,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3065,Modern Chandelier,Not Applicable,High: > 2252,1,3065,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,110,LED Downlight,Not Applicable,Low: <= 174,8,880,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1322,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1322,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1749,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1749,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2782,Modern Chandelier,Not Applicable,High: > 2252,1,2782,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2941,Modern Chandelier,Not Applicable,High: > 2252,1,2941,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1430,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1430,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1695,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1695,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1470,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1470,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,119,LED Downlight,Not Applicable,Low: <= 174,8,952,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3300,Modern Chandelier,Not Applicable,High: > 2252,1,3300,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1894,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1894,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1799,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1799,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,151,LED Spotlight,Not Applicable,Low: <= 174,4,604,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3414,Modern Chandelier,Not Applicable,High: > 2252,1,3414,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2132,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2132,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1295,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1295,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,82,LED Downlight,Not Applicable,Low: <= 174,8,656,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,159,LED Spotlight,Not Applicable,Low: <= 174,4,636,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,88,LED Downlight,Not Applicable,Low: <= 174,8,704,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1512,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1512,Electrical
El Sewedy Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,67,LED Bulb,Not Applicable,Low: <= 174,4,268,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2519,Modern Chandelier,Not Applicable,High: > 2252,1,2519,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,173,LED Spotlight,Not Applicable,Low: <= 174,4,692,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2956,Modern Chandelier,Not Applicable,High: > 2252,1,2956,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3448,Modern Chandelier,Not Applicable,High: > 2252,1,3448,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2059,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2059,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1762,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1762,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,120,LED Downlight,Not Applicable,Low: <= 174,8,960,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2624,Modern Chandelier,Not Applicable,High: > 2252,1,2624,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1719,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1719,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2984,Modern Chandelier,Not Applicable,High: > 2252,1,2984,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,133,LED Downlight,Not Applicable,Low: <= 174,8,1064,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1453,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1453,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1293,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1293,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1535,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1535,Electrical
